listing_link,listing_image,listing_price,listing_property_type,listing_location,listing_rooms,listing_size
https://www.tecnocasa.tn/vendre/appartement/sousse/m-saken/50038.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",210 000 DT,S+2 en vente,"M'Saken, Rue youssef temimi",2 pièces,136 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/khezama/59400.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",285 000 DT,S+1 en vente,Khezama - Khezema Est,1 pièce,62 m²
https://www.tecnocasa.tn/vendre/terrain/sousse/khezama/57484.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",888 000 DT,Terrain habitation ind. en vente,"Khezama, Rue Hedi Ghdess - Khezema Est",450 m²,450 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/khezama/44729.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",410 000 DT,S+2 en vente,Khezama - Khezema Est,2 pièces,105 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/sousse-centre-ville/60813.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",225 000 DT,S+1 en vente,Sousse Centre Ville - Cité Hached - Jawhara,2 pièces,80 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/sousse-centre-ville/57845.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",350 000 DT,S+3 en vente,Sousse Centre Ville - Cité Hached - Jawhara,4 pièces,143 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/sahloul/35267.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",365 000 DT,S+2 en vente,Sahloul - Sahloul 1-2,2 pièces,123 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/sahloul/48690.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",340 000 DT,S+2 en vente,Sahloul - Sahloul 1-2,3 pièces,137 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/sahloul/60769.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",380 000 DT,S+2 en vente,Sahloul - Sahloul 1-2,2 pièces,167 m²
https://www.tecnocasa.tn/vendre/terrain/sousse/hergla/60765.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",120 000 DT,Terrain agricole en vente,"Hergla, Rue hergla",467 m²,467 m²
https://www.tecnocasa.tn/vendre/terrain/sousse/hergla/60764.html,https://cdn-media.medialabtc.it/tn/agencies/ssgh1/estates/60764/images/340774/gallery_media.jpeg,300 000 DT,Terrain agricole en vente,"Hergla, Rue hergla",1223 m²,1223 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/sousse-centre-ville/60650.html,https://cdn-media.medialabtc.it/tn/agencies/ssca5/estates/60650/images/339873/gallery_media.jpeg,260 000 DT,S+2 en vente,Sousse Centre Ville - Cité Hached - Jawhara,3 pièces,135 m²
https://www.tecnocasa.tn/vendre/villa/sousse/hammam-sousse/42003.html,https://cdn-media.medialabtc.it/tn/agencies/sscb6/estates/42003/images/186110/gallery_media.jpeg,,Villa individuelle en vente,Hammam Sousse,6 pièces,775 m²
https://www.tecnocasa.tn/vendre/villa/sousse/hammam-sousse/60570.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",900 000 DT,Villa en bande en vente,Hammam Sousse - El Menchia,5 pièces,450 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/sahloul/56856.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",165 000 DT,S+2 en vente,"Sahloul, Rue louis ficher - Sahloul 1-2",105 m²,105 m²
https://www.tecnocasa.tn/vendre/villa/sousse/sahloul/60434.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",960 000 DT,Villa individuelle en vente,Sahloul - Sahloul 1-2,5 pièces,420 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/hergla/37463.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,S+2 en vente,"Hergla, Rue corniche Hergla",3 pièces,120 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/sahloul/52680.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",295 000 DT,S+3 en vente,"Sahloul, Rue  amad - Sahloul 1-2",3 pièces,141 m²
https://www.tecnocasa.tn/vendre/terrain/sousse/sahloul/40958.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",540 000 DT,Terrain habitation collective en vente,"Sahloul, Rte ceinture SAHLOUL (ss) 4061 - Sahloul 1-2",601 m²,601 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/sahloul/59252.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",135 000 DT,S+2 en vente,"Sahloul, نهج جلال الدين النقاش - Sahloul 1-2",2 pièces,85 m²
https://www.tecnocasa.tn/vendre/terrain/sousse/kalaa-seghira/60055.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",190 000 DT,Terrain habitation ind. en vente,"Kalâa Seghira, Rue chraki - El Kaala Essagira",368 m²,368 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/chott-meriam/57793.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",300 000 DT,S+1 en vente,"Chott Meriam, Résidence Essayadi bloc Dalila 3",1 pièce,65 m²
https://www.tecnocasa.tn/vendre/villa/sousse/hergla/60505.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",895 000 DT,Villa individuelle en vente,"Hergla, Lotissement Afh",4 pièces,269 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/hammam-sousse/60392.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",300 000 DT,S+3 en vente,"Hammam Sousse, Boulevard Hedi Chaker",3 pièces,150 m²
https://www.tecnocasa.tn/vendre/terrain/sousse/hammam-sousse/53634.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2 313 000 DT,Terrain habitation ind. en vente,Hammam Sousse - Ghrabi,2313 m²,2313 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/hergla/60313.html,https://cdn-media.medialabtc.it/tn/agencies/ssgh1/estates/60313/images/337421/gallery_media.jpeg,200 000 DT,S+2 en vente,"Hergla, Lotissement AFH Herrgla",2 pièces,85 m²
https://www.tecnocasa.tn/vendre/terrain/sousse/hergla/60254.html,https://cdn-media.medialabtc.it/tn/agencies/ssgh1/estates/60254/images/336885/gallery_media.jpeg,288 800 DT,Terrain habitation collective en vente,"Hergla, Cité Nozha",304 m²,304 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/khezama/59402.html,https://cdn-media.medialabtc.it/tn/agencies/ssca1/estates/59402/images/328397/gallery_media.jpeg,408 000 DT,S+2 en vente,Khezama - Khezema Est,2 pièces,90 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/sousse-centre-ville/60060.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",90 000 DT,S+2 en vente,Sousse Centre Ville - La Corniche,3 pièces,85 m²
https://www.tecnocasa.tn/vendre/terrain/sousse/khezama/48215.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",714 000 DT,Terrain habitation ind. en vente,Khezama - Khezema Ouest,397 m²,397 m²
https://www.tecnocasa.tn/vendre/terrain/sousse/khezama/47921.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",677 300 DT,Terrain habitation ind. en vente,Khezama - Khezema Ouest,521 m²,521 m²
https://www.tecnocasa.tn/vendre/terrain/sousse/khezama/40648.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",684 000 DT,Terrain habitation ind. en vente,Khezama - Khezema Est,570 m²,570 m²
https://www.tecnocasa.tn/vendre/terrain/sousse/hammam-sousse/40382.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",550 000 DT,Terrain habitation ind. en vente,Hammam Sousse,500 m²,500 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/sousse-centre-ville/57880.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",140 000 DT,S+2 en vente,Sousse Centre Ville - La Corniche,70 m²,70 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/hergla/59871.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",290 000 DT,S+2 en vente,"Hergla, Lotissement AFH Hergla",2 pièces,117 m²
https://www.tecnocasa.tn/vendre/villa/sousse/el-kantaoui/59500.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Villa individuelle en vente,"El Kantaoui, Rue albatros",881 m²,881 m²
https://www.tecnocasa.tn/vendre/villa/sousse/sahloul/59587.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1 060 000 DT,Villa jumelée en vente,Sahloul - Sahloul 4,480 m²,480 m²
https://www.tecnocasa.tn/vendre/terrain/sousse/chott-meriam/58967.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",400 000 DT,Terrain habitation ind. en vente,"Chott Meriam, Lotissement bouker",565 m²,565 m²
