listing_link,listing_image,listing_price,listing_property_type,listing_location,listing_rooms,listing_size
https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/59280.html,https://cdn-media.medialabtc.it/tn/agencies/ssfx1/estates/59280/images/326960/gallery_media.jpeg,200 000 DT,Terrain habitation ind. en vente,Sfax - Bouzayen,487 m²,487 m²
https://www.tecnocasa.tn/vendre/villa/sfax/sfax/59472.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",110 000 DT,Etage de villa en vente,Sfax - Route Gremda,76 m²,76 m²
https://www.tecnocasa.tn/vendre/villa/sfax/sfax/59141.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",570 000 DT,Villa individuelle en vente,Sfax - Route de Tunis,584 m²,584 m²
https://www.tecnocasa.tn/vendre/villa/sfax/sfax/59175.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",380 000 DT,Villa individuelle en vente,Sfax - Route Teniour,709 m²,709 m²
https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/59144.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",210 000 DT,Terrain habitation ind. en vente,Sfax - Route de Tunis,710 m²,710 m²
https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/58877.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",180 000 DT,Terrain habitation ind. en vente,Sfax - Route de Tunis,444 m²,444 m²
https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/55658.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1 170 000 DT,Terrain habitation ind. en vente,Sfax - Route Gremda,1095 m²,1095 m²
https://www.tecnocasa.tn/vendre/villa/sfax/sfax/57828.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",230 000 DT,Villa jumelée en vente,Sfax - Kaied Mhamed,560 m²,560 m²
https://www.tecnocasa.tn/vendre/villa/sfax/sfax/57351.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",520 000 DT,Villa individuelle en vente,Sfax - Route Ain,795 m²,795 m²
https://www.tecnocasa.tn/vendre/villa/sfax/sfax/51263.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2 950 000 DT,Villa individuelle en vente,Sfax - Bouzayen,2360 m²,2360 m²
https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/59143.html,https://cdn-media.medialabtc.it/tn/agencies/ssfx1/estates/59143/images/325752/gallery_media.jpeg,210 000 DT,Terrain habitation ind. en vente,Sfax - Route de Tunis,561 m²,561 m²
https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/63418.html,https://cdn-media.medialabtc.it/tn/agencies/ssfx2/estates/63418/images/364351/gallery_media.jpeg,170 000 DT,Terrain habitation ind. en vente,Sfax - Route Manzel Chaker,534 m²,534 m²
https://www.tecnocasa.tn/vendre/appartement/sfax/sfax/62859.html,https://cdn-media.medialabtc.it/tn/agencies/ssfx2/estates/62859/images/364778/gallery_media.jpeg,230 000 DT,S+3 en vente,Sfax - Route Soukra,3 pièces,147 m²
https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/56970.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",645 000 DT,Terrain habitation collective en vente,Sfax - Route de Tunis,920 m²,920 m²
https://www.tecnocasa.tn/vendre/villa/sfax/sfax/60925.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",830 000 DT,Villa individuelle en vente,Sfax - Route Lafrane,900 m²,900 m²
https://www.tecnocasa.tn/vendre/appartement/sfax/sfax/63066.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",157 000 DT,S+1 en vente,Sfax - Route Teniour,2 pièces,53 m²
https://www.tecnocasa.tn/vendre/villa/sfax/sfax/62480.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",85 000 DT,Etage de villa en vente,Sfax - Route Manzel Chaker,150 m²,150 m²
https://www.tecnocasa.tn/vendre/appartement/sfax/sfax/62888.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",315 000 DT,S+4 en vente,Sfax - Route Teniour,5 pièces,203 m²
https://www.tecnocasa.tn/vendre/appartement/sfax/sfax/63017.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",470 000 DT,S+3 en vente,Sfax - Route Gremda,4 pièces,187 m²
https://www.tecnocasa.tn/vendre/villa/sfax/sfax/62491.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",450 000 DT,Villa inachevée en vente,Sfax - Route Manzel Chaker,500 m²,500 m²
https://www.tecnocasa.tn/vendre/appartement/sfax/sfax/60461.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",178 000 DT,S+1 en vente,Sfax - Route Gremda,2 pièces,87 m²
https://www.tecnocasa.tn/vendre/appartement/sfax/sfax/62232.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",190 000 DT,Duplex en vente,Sfax - Route Teniour,5 pièces,193 m²
https://www.tecnocasa.tn/vendre/villa/sfax/sfax/62212.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",625 000 DT,Villa individuelle en vente,Sfax - Route Gremda,770 m²,770 m²
https://www.tecnocasa.tn/vendre/villa/sfax/sfax/62221.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",205 000 DT,Etage de villa en vente,Sfax - Route Soukra,100 m²,100 m²
https://www.tecnocasa.tn/vendre/appartement/sfax/sfax/60669.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",555 000 DT,S+3 en vente,Sfax - Route Gremda,4 pièces,239 m²
