listing_link,listing_image,listing_price,listing_property_type,listing_location,listing_rooms,listing_size
https://www.tecnocasa.tn/vendre/villa/mahdia/rejiche/54992.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",225 000 DT,Maison jumelée en vente,Rejiche,242 m²,242 m²
https://www.tecnocasa.tn/vendre/villa/mahdia/rejiche/62800.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",380 000 DT,Etage de villa en vente,Rejiche,196 m²,196 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/salakta/61063.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",290 000 DT,S+3 en vente,Salakta,4 pièces,276 m²
https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/62806.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",330 000 DT,Terrain habitation collective en vente,Rejiche,452 m²,452 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/chebba/62466.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",160 000 DT,S+1 en vente,Chebba,2 pièces,74 m²
https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/62752.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",204 000 DT,Terrain habitation ind. en vente,Rejiche,408 m²,408 m²
https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/62549.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",150 000 DT,Terrain habitation ind. en vente,Salakta,323 m²,323 m²
https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/59536.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",590 000 DT,Terrain habitation ind. en vente,Salakta,1078 m²,1078 m²
https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/52407.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",180 000 DT,Terrain habitation ind. en vente,Salakta,250 m²,250 m²
https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/54062.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",99 000 DT,Terrain habitation ind. en vente,Salakta,207 m²,207 m²
https://www.tecnocasa.tn/vendre/villa/mahdia/salakta/54068.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1 650 000 DT,Villa individuelle en vente,Salakta,5 pièces,5131 m²
https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/54678.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1 700 000 DT,Terrain habitation ind. en vente,Ksour Essef,1537 m²,1537 m²
https://www.tecnocasa.tn/vendre/villa/mahdia/ksour-essef/56249.html,https://cdn-media.medialabtc.it/tn/agencies/mdca4/estates/56249/images/300013/gallery_media.jpeg,160 000 DT,Maison jumelée en vente,"Ksour Essef, Avenue Hedi Chaker",3 pièces,150 m²
https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/58412.html,https://cdn-media.medialabtc.it/tn/agencies/mdca4/estates/58412/images/318935/gallery_media.jpeg,185 000 DT,Terrain habitation ind. en vente,Salakta,466 m²,466 m²
https://www.tecnocasa.tn/vendre/villa/mahdia/salakta/58443.html,https://cdn-media.medialabtc.it/tn/agencies/mdca4/estates/58443/images/318622/gallery_media.jpeg,865 000 DT,Maison jumelée en vente,"Salakta, Rue Salakta",1 pièce,330 m²
https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/58455.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",220 000 DT,Terrain habitation ind. en vente,"Salakta, Rue Salakta",480 m²,480 m²
https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/58481.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",450 000 DT,Terrain habitation ind. en vente,"Salakta, Salakta masrah",722 m²,722 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/salakta/58596.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",750 000 DT,Duplex en vente,Salakta,348 m²,348 m²
https://www.tecnocasa.tn/vendre/villa/mahdia/salakta/58770.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1 290 000 DT,Villa jumelée en vente,"Salakta, Rue Salakta",700 m²,700 m²
https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/59102.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",125 000 DT,Terrain habitation ind. en vente,"Ksour Essef, Avenue Hedi Chaker",367 m²,367 m²
https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/59109.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",120 000 DT,Terrain habitation ind. en vente,Ksour Essef,550 m²,550 m²
https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/59541.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",125 000 DT,Terrain habitation ind. en vente,Salakta,337 m²,337 m²
https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/59678.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",115 000 DT,Terrain habitation ind. en vente,Salakta,289 m²,289 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/salakta/60674.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",550 000 DT,S+3 en vente,Salakta,3 pièces,186 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/ksour-essef/60835.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",165 000 DT,S+3 en vente,Ksour Essef,4 pièces,116 m²
