listing_link,listing_image,listing_price,listing_property_type,listing_location,listing_rooms,listing_size
https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/49288.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",120 000 DT,Terrain agricole en vente,"Kairouan, Afh 4",600 m²,600 m²
https://www.tecnocasa.tn/vendre/villa/kairouan/kairouan/63530.html,https://cdn-media.medialabtc.it/tn/agencies/kair1/estates/63530/images/366906/gallery_media.jpeg,260 000 DT,Maison jumelée en vente,"Kairouan, Rue sabra",180 m²,180 m²
https://www.tecnocasa.tn/vendre/appartement/kairouan/kairouan/62860.html,https://cdn-media.medialabtc.it/tn/agencies/kair1/estates/62860/images/364265/gallery_media.jpeg,284 087 DT,S+3 en vente,"Kairouan, Avenue de la république",4 pièces,156 m²
https://www.tecnocasa.tn/vendre/villa/kairouan/kairouan/62681.html,https://cdn-media.medialabtc.it/tn/agencies/kair1/estates/62681/images/359808/gallery_media.jpeg,265 000 DT,Maison jumelée en vente,"Kairouan, Avenue Okba ibn nafeaa",140 m²,140 m²
https://www.tecnocasa.tn/vendre/appartement/kairouan/kairouan/54861.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",160 000 DT,S+2 en vente,"Kairouan, Rue Ibn Gouta",144 m²,144 m²
https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/62591.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",61 200 DT,Terrain habitation ind. en vente,"Kairouan, Route Sousse Kairouan",204 m²,204 m²
https://www.tecnocasa.tn/vendre/ferme/kairouan/kairouan/60869.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",750 000 DT,Ferme en vente,"Kairouan, Chbika kairouan",45000 m²,45000 m²
https://www.tecnocasa.tn/vendre/appartement/kairouan/kairouan/55230.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",280 000 DT,S+3 en vente,"Kairouan, Rue gouvernorat",3 pièces,180 m²
https://www.tecnocasa.tn/vendre/appartement/kairouan/kairouan/55838.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",165 000 DT,S+2 en vente,"Kairouan, Cité Manar , Rue Cape Town",2 pièces,79 m²
https://www.tecnocasa.tn/vendre/appartement/kairouan/kairouan/55836.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",175 000 DT,S+2 en vente,"Kairouan, Rue cape town",2 pièces,91 m²
https://www.tecnocasa.tn/vendre/appartement/kairouan/kairouan/61584.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",180 000 DT,S+1 en vente,"Kairouan, Rue el Manar 3",1 pièce,62 m²
https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/61980.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",199 920 DT,Terrain habitation ind. en vente,"Kairouan, Cité Ichbilia el manar",294 m²,294 m²
https://www.tecnocasa.tn/vendre/villa/kairouan/kairouan/53821.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1 400 000 DT,Villa individuelle en vente,"Kairouan, Rue bayt el hekma Mansoura 4",750 m²,750 m²
https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/61903.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",198 260 DT,Terrain habitation ind. en vente,"Kairouan, Rue Mansoura",431 m²,431 m²
https://www.tecnocasa.tn/vendre/appartement/kairouan/kairouan/61603.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",235 000 DT,S+2 en vente,"Kairouan, Rue el Manar 3",2 pièces,94 m²
https://www.tecnocasa.tn/vendre/villa/kairouan/kairouan/57036.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",250 000 DT,Maison jumelée en vente,"Kairouan, Centre ville kairouan",200 m²,200 m²
