listing_link,listing_image,listing_price,listing_property_type,listing_location,listing_rooms,listing_size
https://www.tecnocasa.tn/vendre/terrain/monastir/sahline/61369.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",123 750 DT,Terrain habitation ind. en vente,"Sahline, Rue Sahline",225 m²,225 m²
https://www.tecnocasa.tn/vendre/villa/monastir/ksar-hellal/59968.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",265 000 DT,Villa jumelée en vente,Ksar Hellal,2 pièces,281 m²
https://www.tecnocasa.tn/vendre/terrain/monastir/ksar-hellal/60803.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",370 000 DT,Terrain habitation collective en vente,Ksar Hellal,860 m²,860 m²
https://www.tecnocasa.tn/vendre/terrain/monastir/sahline/61806.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",217 620 DT,Terrain habitation ind. en vente,"Sahline, Rue sahline",468 m²,468 m²
https://www.tecnocasa.tn/vendre/terrain/monastir/monastir/62063.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",980 000 DT,Terrain habitation ind. en vente,"Monastir, Hay  ennozha - Cité Ennozha",1115 m²,1115 m²
https://www.tecnocasa.tn/vendre/appartement/monastir/monastir/62140.html,https://cdn-media.medialabtc.it/tn/agencies/moca2/estates/62140/images/353975/gallery_media.jpeg,95 000 DT,S+2 en vente,"Monastir, Rue frina - Frina",3 pièces,70 m²
https://www.tecnocasa.tn/vendre/terrain/monastir/sahline/61902.html,https://cdn-media.medialabtc.it/tn/agencies/moca4/estates/61902/images/353153/gallery_media.jpeg,193 500 DT,Terrain habitation collective en vente,"Sahline, Rue sahline",430 m²,430 m²
https://www.tecnocasa.tn/vendre/appartement/monastir/sahline/61644.html,https://cdn-media.medialabtc.it/tn/agencies/moca4/estates/61644/images/353049/gallery_media.jpeg,165 000 DT,S+2 en vente,"Sahline, Rue sahline",3 pièces,76 m²
https://www.tecnocasa.tn/vendre/terrain/monastir/bekalta/61932.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",107 000 DT,Terrain habitation ind. en vente,Bekalta,400 m²,400 m²
https://www.tecnocasa.tn/vendre/terrain/monastir/sahline/61690.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",110 000 DT,Terrain habitation ind. en vente,"Sahline, Rue sahline",198 m²,198 m²
