id,created_at,title,predicted_price_tnd
6a547c60-fab9-4cac-90d1-dbda547f88ea,2026-04-13T19:44:33.337761+00:00,"Immobilier neuf à Ariana Ville, Immobilier neuf - Mubawab",640086.0

3fa2a975-b568-4f69-84a1-0ae1bded105a,2026-04-13T19:44:31.636391+00:00,"Immobilier neuf à Akouda, Immobilier neuf - Mubawab",315010.0

37b92f88-bdc8-44e0-ad61-85224113ff91,2026-04-13T19:44:30.061237+00:00,"Nuova costruzione Tunisia, Nuova costruzione - Mubawab",851517.0

6ebe8dda-5ac0-48c4-8b3a-c9705976c62f,2026-04-13T19:44:28.247730+00:00,"New homes Tunisia, New homes - Mubawab",405917.0

c7176fb0-4b71-4a2b-a9d9-d42a880a3930,2026-04-13T19:44:26.467057+00:00,"قارات جديدة في تونس, عقارات جديدة - Mubawab",315010.0

ab422fa1-8f11-46cd-9583-447d798a02ec,2026-04-13T19:44:24.774612+00:00,"Immobilier neuf en Tunisie, Immobilier neuf - Mubawab",315010.0

e1ab3f23-8125-4ae3-9c92-3861cce5523d,2026-04-13T19:44:21.414290+00:00,A vendre Appartement S0 au Lac2,334622.0

aa9b5e45-deec-42c5-9dbb-088333f1a2a7,2026-04-13T19:44:20.212289+00:00,À Louer Appartement S2 Indépendant au Lac 2,347308.0

06386452-914a-480c-a37e-2187cfea2aac,2026-04-13T19:44:18.261227+00:00,Appartement S+3 à louer à Cité les Palmeraies,315010.0

5adb82e6-c918-4d4f-a40f-6657b9756606,2026-04-13T19:44:17.031679+00:00,Appartement S+2 à vendre à Cité les Palmeraies,315010.0

ba3ed992-e7a7-4726-b439-f8a26a9d63e2,2026-04-13T19:44:15.773786+00:00,Appartement à vendre à Djerba Aghir 200m de la plage,409188.0

dbbef776-5660-4495-ab66-e9f1d27d513a,2026-04-13T19:44:14.478877+00:00,A Louer un bel S+3 très haut standing à l'Aouina,508714.0

80a6a959-a971-4eb7-8ae0-9facae18137b,2026-04-13T19:44:12.724226+00:00,A Louer un appartement S+2 à l'Aouina,337158.0

a8b3ecb8-4d19-4d25-9c5e-a722f95aa0d5,2026-04-13T19:44:11.293786+00:00,A Vendre un S+4 à Jardins de Carthage,516928.0

797d47d1-99f1-43a2-92fb-60a4453d855c,2026-04-13T19:44:09.725770+00:00,A louer un appartement Très Haut Standing au Menzah 9 S3,319807.0

179dd4f9-a0ef-47a9-8089-b63584f2be35,2026-04-13T19:44:08.353898+00:00,Location S+1 meublé pour moyenne ou longue durée à la Goulette,319807.0

db5dee37-4064-411b-b0b9-bcc8edcaa472,2026-04-13T19:44:06.858507+00:00,"À louer – Duplex à Khreidine, La Goulette",315010.0

82c4f8a1-a447-4166-b77e-d31a19384e04,2026-04-13T19:44:04.869288+00:00,À louer Cosy S+1 Meublé à Ain Zaghouane,315010.0

5e95130b-f6b4-4cb5-9265-81cb34308eed,2026-04-13T19:44:03.391294+00:00,A Louer Appartement S1 au Lac1,345131.0

bb0884f6-63d3-48fc-9a8c-7485397c3af6,2026-04-13T19:44:02.029851+00:00,Appartement meublé Les Berges du Lac 1,315010.0

