listing_link,listing_image,listing_price,listing_property_type,listing_location,listing_rooms,listing_size,city
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/ariana/59836.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",450 000 DT,Duplex en vente,"Ariana, Cité essahafa ARIANA (gt) 2080 - Cité El Ghazala",5 pièces,160 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/la-soukra/59753.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",395 000 DT,S+2 en vente,La Soukra - Soukra,100 m²,100 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/la-manouba/59732.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",290 000 DT,S+2 en vente,"La Manouba, Cité ibn zohre - Manouba",3 pièces,111 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/villa/grand-tunis/ariana/59682.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",580 000 DT,Villa individuelle en vente,"Ariana, Rue Enkhilet - Pôle Technologique",3 pièces,260 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/la-manouba/59733.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",352 000 DT,S+3 en vente,"La Manouba, Derrière technopole - Manouba",4 pièces,141 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/villa/grand-tunis/el-menzah/32291.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1 100 000 DT,Villa individuelle en vente,El Menzah - Menzah 5,5 pièces,474 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/villa/grand-tunis/ariana/57592.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",815 000 DT,Villa individuelle en vente,Ariana - Nouvelle Ariana,386 m²,386 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/villa/grand-tunis/ariana/59445.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",550 000 DT,Villa individuelle en vente,"Ariana, Jaafer 1 - La Petite Ariana",350 m²,350 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/manar/50380.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",480 000 DT,Duplex en vente,Manar - Manar 1,4 pièces,265 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/terrain/grand-tunis/carthage/59015.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2 250 000 DT,Terrain habitation ind. en vente,Carthage,539 m²,539 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-soukra/59105.html,https://cdn-media.medialabtc.it/tn/agencies/tuha6/estates/59105/images/330708/gallery_media.jpeg,745 000 DT,Terrain habitation ind. en vente,La Soukra - Soukra,596 m²,596 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/villa/grand-tunis/la-soukra/58790.html,https://cdn-media.medialabtc.it/tn/agencies/tuha6/estates/58790/images/327643/gallery_media.jpeg,1 269 000 DT,Villa individuelle en vente,La Soukra - Chotrana,350 m²,350 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/el-mourouj/57723.html,https://cdn-media.medialabtc.it/tn/agencies/tumo1/estates/57723/images/328243/gallery_media.jpeg,280 000 DT,S+3 en vente,El Mourouj - El Mourouj 6,4 pièces,125 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/villa/grand-tunis/el-menzah/52048.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1 550 000 DT,Villa individuelle en vente,El Menzah - Menzah 7,684 m²,684 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/ennasr/58005.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",300 000 DT,S+1 en vente,Ennasr - Ennasr 2,2 pièces,87 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/villa/grand-tunis/la-marsa/56507.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",370 000 DT,Villa jumelée en vente,La Marsa - Cité El Khalil,100 m²,100 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/el-mourouj/59263.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",170 000 DT,S+2 en vente,El Mourouj - El Mourouj 5,3 pièces,105 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/la-soukra/59054.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",497 000 DT,S+2 en vente,La Soukra - Soukra,3 pièces,144 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/villa/grand-tunis/ariana/59135.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",870 000 DT,Villa individuelle en vente,"Ariana, A.habib bourguiba - Cité El Ghazala",360 m²,360 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/medina-jedida/59101.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",580 000 DT,S+4 en vente,"Medina Jedida, Av. de la République - Madina Jadida",216 m²,216 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/jardins-de-carthage/47570.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1 270 000 DT,S+4 en vente,"Jardins de Carthage, Jardins De Carthage - Les Jardins De Carthage",5 pièces,249 m²,Grand Tunis
